Date,CET,Max_TemperatureF,Mean_TemperatureF,Min_TemperatureF,Max_Dew_PointF,MeanDew_PointF,Min_DewpointF,Max_Humidity,Mean_Humidity,Min_Humidity,Max_Sea_Level_PressureIn,Mean_Sea_Level_PressureIn,Min_Sea_Level_PressureIn,Max_VisibilityMiles,Mean_VisibilityMiles,Min_VisibilityMiles,Max_Wind_SpeedMPH,Mean_Wind_SpeedMPH,Max_Gust_SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees,month,day,year,month_day,dow,week,Max_TemperatureC,Mean_TemperatureC,Min_TemperatureC,Max_Dew_PointC,MeanDew_PointC,Min_DewpointC
1996-07-01T00:00:00Z,1996-7-1,96,79,62,63,56,41,59,40,28,30.01,29.91,29.8,6,6,6,15,4,25,0,2,,273,7,1,1996,07-01,1,26,35.5555555555555,26.1111111111111,16.6666666666667,17.2222222222222,13.3333333333333,5
1996-07-02T00:00:00Z,1996-7-2,87,76,64,61,56,50,68,51,35,29.98,29.91,29.86,6,6,6,14,6,NA,0,3,,30,7,2,1996,07-02,2,26,30.5555555555555,24.4444444444445,17.7777777777778,16.1111111111111,13.3333333333333,10
1996-07-03T00:00:00Z,1996-7-3,91,76,60,64,56,46,69,49,34,30.06,30.03,29.98,6,6,6,12,3,21,0,1,,227,7,3,1996,07-03,3,26,32.7777777777778,24.4444444444445,15.5555555555555,17.7777777777778,13.3333333333333,7.77777777777777
1996-07-04T00:00:00Z,1996-7-4,89,76,62,61,57,50,64,47,33,30.09,30.05,30.01,6,6,6,18,7,28,0,2,,225,7,4,1996,07-04,4,26,31.6666666666667,24.4444444444445,16.6666666666667,16.1111111111111,13.8888888888889,10
1996-07-05T00:00:00Z,1996-7-5,86,78,69,61,58,55,64,49,40,30.04,29.99,29.95,6,6,6,16,10,NA,0,4,,275,7,5,1996,07-05,5,26,30,25.5555555555555,20.5555555555555,16.1111111111111,14.4444444444445,12.7777777777778
1996-07-06T00:00:00Z,1996-7-6,82,73,64,59,55,52,68,50,37,29.98,29.91,29.83,6,6,6,18,8,NA,0,3,,227,7,6,1996,07-06,6,26,27.7777777777778,22.7777777777778,17.7777777777778,15,12.7777777777778,11.1111111111111
1996-07-07T00:00:00Z,1996-7-7,82,72,62,61,53,46,73,54,37,30.01,29.83,29.77,6,6,6,25,14,34,0,4,,293,7,7,1996,07-07,7,27,27.7777777777778,22.2222222222222,16.6666666666667,16.1111111111111,11.6666666666667,7.77777777777777
1996-07-08T00:00:00Z,1996-7-8,78,64,51,52,46,39,63,50,39,30.3,30.21,30.04,6,6,6,18,10,25,0,2,,58,7,8,1996,07-08,1,27,25.5555555555555,17.7777777777778,10.5555555555555,11.1111111111111,7.77777777777777,3.88888888888891
1996-07-09T00:00:00Z,1996-7-9,87,71,55,52,48,43,72,46,27,30.36,30.3,30.21,NA,NA,NA,10,7,NA,0,NA,,59,7,9,1996,07-09,2,27,30.5555555555555,21.6666666666667,12.7777777777778,11.1111111111111,8.88888888888891,6.11111111111109
1996-07-10T00:00:00Z,1996-7-10,91,76,60,57,51,43,55,40,28,30.3,30.22,30.09,6,6,6,12,5,NA,0,1,,33,7,10,1996,07-10,3,27,32.7777777777778,24.4444444444445,15.5555555555555,13.8888888888889,10.5555555555555,6.11111111111109
1996-07-11T00:00:00Z,1996-7-11,93,76,59,59,54,46,63,42,30,30.18,30.13,30.06,6,6,6,9,5,NA,0,4,,52,7,11,1996,07-11,4,27,33.8888888888889,24.4444444444445,15,15,12.2222222222222,7.77777777777777
1996-07-12T00:00:00Z,1996-7-12,93,78,64,64,57,50,64,46,32,30.15,30.1,30.04,6,6,6,9,4,NA,0,2,,49,7,12,1996,07-12,5,27,33.8888888888889,25.5555555555555,17.7777777777778,17.7777777777778,13.8888888888889,10
1996-07-13T00:00:00Z,1996-7-13,93,80,66,64,57,50,57,45,36,30.18,30.12,30.06,6,6,6,18,4,NA,0,4,,17,7,13,1996,07-13,6,27,33.8888888888889,26.6666666666667,18.8888888888889,17.7777777777778,13.8888888888889,10
1996-07-14T00:00:00Z,1996-7-14,89,76,64,66,60,54,78,56,40,30.27,30.21,30.15,6,6,6,14,5,NA,0,4,Rain-Thunderstorm,160,7,14,1996,07-14,7,28,31.6666666666667,24.4444444444445,17.7777777777778,18.8888888888889,15.5555555555555,12.2222222222222
1996-07-15T00:00:00Z,1996-7-15,93,76,60,66,57,48,94,51,28,30.27,30.19,30.09,6,6,6,12,3,NA,0,2,,143,7,15,1996,07-15,1,28,33.8888888888889,24.4444444444445,15.5555555555555,18.8888888888889,13.8888888888889,8.88888888888891
1996-07-16T00:00:00Z,1996-7-16,93,76,60,59,53,45,59,41,32,30.18,30.13,30.04,6,6,6,12,2,22,0,4,,341,7,16,1996,07-16,2,28,33.8888888888889,24.4444444444445,15.5555555555555,15,11.6666666666667,7.22222222222223
1996-07-17T00:00:00Z,1996-7-17,95,78,62,61,54,46,64,43,31,30.15,30.09,30.01,6,6,6,7,2,NA,0,2,,33,7,17,1996,07-17,3,28,35,25.5555555555555,16.6666666666667,16.1111111111111,12.2222222222222,7.77777777777777
1996-07-18T00:00:00Z,1996-7-18,98,82,66,63,57,48,56,41,27,30.15,30.1,30.06,6,6,6,9,3,NA,0,1,,14,7,18,1996,07-18,4,28,36.6666666666667,27.7777777777778,18.8888888888889,17.2222222222222,13.8888888888889,8.88888888888891
1996-07-19T00:00:00Z,1996-7-19,100,84,69,66,61,54,60,43,32,30.18,30.13,30.06,6,6,6,15,2,NA,0,2,,25,7,19,1996,07-19,5,28,37.7777777777778,28.8888888888889,20.5555555555555,18.8888888888889,16.1111111111111,12.2222222222222
1996-07-20T00:00:00Z,1996-7-20,100,84,69,66,57,50,50,38,22,30.12,30.08,30.01,6,6,6,16,6,NA,0,3,,299,7,20,1996,07-20,6,28,37.7777777777778,28.8888888888889,20.5555555555555,18.8888888888889,13.8888888888889,10
1996-07-21T00:00:00Z,1996-7-21,100,84,68,66,58,50,56,40,27,30.15,30.07,30.01,6,6,6,13,5,NA,0,3,,350,7,21,1996,07-21,7,29,37.7777777777778,28.8888888888889,20,18.8888888888889,14.4444444444445,10
1996-07-22T00:00:00Z,1996-7-22,98,83,68,64,59,52,64,44,29,30.12,30.07,30.01,NA,NA,NA,12,3,NA,0,NA,,206,7,22,1996,07-22,1,29,36.6666666666667,28.3333333333333,20,17.7777777777778,15,11.1111111111111
1996-07-23T00:00:00Z,1996-7-23,98,84,71,66,59,52,53,42,32,30.12,30.06,30.01,6,6,6,102,7,NA,0,5,,207,7,23,1996,07-23,2,29,36.6666666666667,28.8888888888889,21.6666666666667,18.8888888888889,15,11.1111111111111
1996-07-24T00:00:00Z,1996-7-24,96,82,69,66,60,52,56,43,34,30.15,30.08,30.06,6,6,6,20,5,NA,0,4,Rain,264,7,24,1996,07-24,3,29,35.5555555555555,27.7777777777778,20.5555555555555,18.8888888888889,15.5555555555555,11.1111111111111
1996-07-25T00:00:00Z,1996-7-25,93,83,73,66,60,52,61,47,34,30.09,29.98,29.89,6,6,6,21,9,28,0,5,,297,7,25,1996,07-25,4,29,33.8888888888889,28.3333333333333,22.7777777777778,18.8888888888889,15.5555555555555,11.1111111111111
1996-07-26T00:00:00Z,1996-7-26,84,68,53,63,57,52,100,61,42,30.27,29.97,29.92,6,6,6,17,4,29,0,5,,7,7,26,1996,07-26,5,29,28.8888888888889,20,11.6666666666667,17.2222222222222,13.8888888888889,11.1111111111111
1996-07-27T00:00:00Z,1996-7-27,77,70,64,61,58,57,88,65,53,30.18,30.11,30.06,6,6,6,15,8,NA,0,5,,28,7,27,1996,07-27,6,29,25,21.1111111111111,17.7777777777778,16.1111111111111,14.4444444444445,13.8888888888889
1996-07-28T00:00:00Z,1996-7-28,87,74,60,63,59,55,82,61,40,30.18,30.13,30.06,6,6,6,8,3,NA,0,1,,43,7,28,1996,07-28,7,30,30.5555555555555,23.3333333333333,15.5555555555555,17.2222222222222,15,12.7777777777778
1996-07-29T00:00:00Z,1996-7-29,95,80,64,66,60,54,77,52,34,30.12,30.07,29.98,6,6,6,10,4,NA,0,2,,314,7,29,1996,07-29,1,30,35,26.6666666666667,17.7777777777778,18.8888888888889,15.5555555555555,12.2222222222222
1996-07-30T00:00:00Z,1996-7-30,96,80,64,66,58,52,64,45,28,30.09,30.05,30.01,6,6,2,9,3,NA,0,1,,288,7,30,1996,07-30,2,30,35.5555555555555,26.6666666666667,17.7777777777778,18.8888888888889,14.4444444444445,11.1111111111111
1996-07-31T00:00:00Z,1996-7-31,98,81,64,68,58,52,68,44,25,30.09,30.04,29.98,NA,NA,NA,10,4,NA,0,NA,,254,7,31,1996,07-31,3,30,36.6666666666667,27.2222222222222,17.7777777777778,20,14.4444444444445,11.1111111111111
1996-08-01T00:00:00Z,1996-8-1,96,80,64,66,57,46,59,42,28,30.06,30.03,29.98,NA,NA,NA,9,4,NA,0,NA,,278,8,1,1996,08-01,4,30,35.5555555555555,26.6666666666667,17.7777777777778,18.8888888888889,13.8888888888889,7.77777777777777
1996-08-02T00:00:00Z,1996-8-2,96,80,64,64,56,46,52,43,30,30.12,30.07,30.04,6,6,6,13,3,NA,0,1,,332,8,2,1996,08-02,5,30,35.5555555555555,26.6666666666667,17.7777777777778,17.7777777777778,13.3333333333333,7.77777777777777
1996-08-03T00:00:00Z,1996-8-3,95,82,68,68,63,59,78,54,34,30.15,30.1,30.01,6,6,6,15,7,NA,0,2,,325,8,3,1996,08-03,6,30,35,27.7777777777778,20,20,17.2222222222222,15
1996-08-04T00:00:00Z,1996-8-4,91,80,68,66,59,54,83,50,31,30.06,30.02,29.92,6,6,6,23,8,29,0,2,,260,8,4,1996,08-04,7,31,32.7777777777778,26.6666666666667,20,18.8888888888889,15,12.2222222222222
1996-08-05T00:00:00Z,1996-8-5,86,74,62,59,54,48,60,45,37,30.01,29.96,29.92,6,6,6,14,6,NA,0,6,,255,8,5,1996,08-05,1,31,30,23.3333333333333,16.6666666666667,15,12.2222222222222,8.88888888888891
1996-08-06T00:00:00Z,1996-8-6,87,74,60,64,58,50,68,52,40,30.01,29.97,29.95,6,6,6,14,4,NA,0,1,,259,8,6,1996,08-06,2,31,30.5555555555555,23.3333333333333,15.5555555555555,17.7777777777778,14.4444444444445,10
1996-08-07T00:00:00Z,1996-8-7,87,74,60,64,59,54,100,63,43,30.06,30.01,29.95,6,6,4,17,3,28,0,4,Rain-Thunderstorm,359,8,7,1996,08-07,3,31,30.5555555555555,23.3333333333333,15.5555555555555,17.7777777777778,15,12.2222222222222
1996-08-08T00:00:00Z,1996-8-8,89,73,57,59,55,52,94,57,27,30.06,30.04,29.98,6,6,6,12,2,18,0,1,,200,8,8,1996,08-08,4,31,31.6666666666667,22.7777777777778,13.8888888888889,15,12.7777777777778,11.1111111111111
1996-08-09T00:00:00Z,1996-8-9,93,76,59,55,52,46,72,42,24,30.04,30,29.95,NA,NA,NA,10,4,NA,0,NA,,249,8,9,1996,08-09,5,31,33.8888888888889,24.4444444444445,15,12.7777777777778,11.1111111111111,7.77777777777777
1996-08-10T00:00:00Z,1996-8-10,91,75,59,55,49,43,55,38,28,30.01,29.97,29.92,6,6,6,12,5,20,0,3,,308,8,10,1996,08-10,6,31,32.7777777777778,23.8888888888889,15,12.7777777777778,9.44444444444446,6.11111111111109
1996-08-11T00:00:00Z,1996-8-11,91,76,62,57,54,50,68,46,29,30.01,29.97,29.92,6,6,6,15,2,NA,0,1,,340,8,11,1996,08-11,7,32,32.7777777777778,24.4444444444445,16.6666666666667,13.8888888888889,12.2222222222222,10
1996-08-12T00:00:00Z,1996-8-12,93,78,62,59,54,50,64,44,30,30.01,29.95,29.89,6,6,6,12,1,NA,0,1,,30,8,12,1996,08-12,1,32,33.8888888888889,25.5555555555555,16.6666666666667,15,12.2222222222222,10
1996-08-13T00:00:00Z,1996-8-13,93,80,66,66,58,52,64,48,29,29.98,29.94,29.86,6,6,6,12,6,22,0,2,,22,8,13,1996,08-13,2,32,33.8888888888889,26.6666666666667,18.8888888888889,18.8888888888889,14.4444444444445,11.1111111111111
1996-08-14T00:00:00Z,1996-8-14,89,79,69,66,61,55,78,60,43,30.01,29.95,29.89,6,6,6,28,7,39,0,4,Rain,64,8,14,1996,08-14,3,32,31.6666666666667,26.1111111111111,20.5555555555555,18.8888888888889,16.1111111111111,12.7777777777778
1996-08-15T00:00:00Z,1996-8-15,89,76,62,64,60,54,73,60,40,30.06,30.03,30.01,6,6,6,16,4,28,0,4,Rain-Thunderstorm,77,8,15,1996,08-15,4,32,31.6666666666667,24.4444444444445,16.6666666666667,17.7777777777778,15.5555555555555,12.2222222222222
1996-08-16T00:00:00Z,1996-8-16,89,76,64,64,61,55,88,59,35,30.12,30.08,30.01,6,6,6,7,3,NA,0,1,,187,8,16,1996,08-16,5,32,31.6666666666667,24.4444444444445,17.7777777777778,17.7777777777778,16.1111111111111,12.7777777777778
1996-08-17T00:00:00Z,1996-8-17,93,78,64,63,59,55,78,50,31,30.18,30.13,30.06,6,6,6,12,4,NA,0,2,,171,8,17,1996,08-17,6,32,33.8888888888889,25.5555555555555,17.7777777777778,17.2222222222222,15,12.7777777777778
1996-08-18T00:00:00Z,1996-8-18,91,78,66,64,58,52,78,50,34,30.09,30.02,29.95,6,6,6,14,4,NA,0,3,Rain-Thunderstorm,199,8,18,1996,08-18,7,33,32.7777777777778,25.5555555555555,18.8888888888889,17.7777777777778,14.4444444444445,11.1111111111111
1996-08-19T00:00:00Z,1996-8-19,86,76,66,59,56,54,68,51,33,29.98,29.95,29.92,6,6,6,9,3,NA,0,2,,240,8,19,1996,08-19,1,33,30,24.4444444444445,18.8888888888889,15,13.3333333333333,12.2222222222222
1996-08-20T00:00:00Z,1996-8-20,86,77,68,63,57,50,73,51,37,29.95,29.93,29.89,6,6,6,14,6,NA,0,4,,223,8,20,1996,08-20,2,33,30,25,20,17.2222222222222,13.8888888888889,10
1996-08-21T00:00:00Z,1996-8-21,82,70,57,64,52,48,72,50,35,30.04,29.96,29.89,6,6,6,12,3,NA,0,4,,296,8,21,1996,08-21,3,33,27.7777777777778,21.1111111111111,13.8888888888889,17.7777777777778,11.1111111111111,8.88888888888891
1996-08-22T00:00:00Z,1996-8-22,87,72,57,55,51,46,67,45,29,30.09,30.05,30.01,6,6,6,14,3,26,0,2,,277,8,22,1996,08-22,4,33,30.5555555555555,22.2222222222222,13.8888888888889,12.7777777777778,10.5555555555555,7.77777777777777
1996-08-23T00:00:00Z,1996-8-23,86,75,64,64,57,50,83,52,36,30.06,30.03,29.98,6,6,6,16,7,29,0,2,,266,8,23,1996,08-23,5,33,30,23.8888888888889,17.7777777777778,17.7777777777778,13.8888888888889,10
1996-08-24T00:00:00Z,1996-8-24,84,72,59,52,48,45,59,43,30,30.09,30.05,30.01,6,6,6,7,2,NA,0,1,,18,8,24,1996,08-24,6,33,28.8888888888889,22.2222222222222,15,11.1111111111111,8.88888888888891,7.22222222222223
1996-08-25T00:00:00Z,1996-8-25,86,72,57,59,49,41,63,44,30,30.24,30.04,29.95,6,6,6,7,1,NA,0,1,,255,8,25,1996,08-25,7,34,30,22.2222222222222,13.8888888888889,15,9.44444444444446,5
